scale,preprocessing,data_type,layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
standardized,preprocessed,external,[64],prelu,32,298,0.2302523021779114,0.2507536254437806,0.5431140184402465,0.3392940342842958,0.2232181909870823,0.2446435242080338,0.5463511705398559,0.3332379761404149,0.0002578125122454
standardized,preprocessed,augmented,[64],prelu,64,286,0.2415175760609126,0.2549418002943445,0.532739794254303,0.3531941325006345,0.231872014371762,0.2500061849180286,0.551156508922577,0.3458969354641102,0.000232812511058
standardized,non_processed,external,[64],prelu,32,295,0.244580500970882,0.2556286368392845,0.5218670010566712,0.3521769348256611,0.2390860827303896,0.2515837779859261,0.5320527791976929,0.3468916923835894,0.0001593750075699
standardized,non_processed,augmented,[64],prelu,32,299,0.2596558136830514,0.2635458952989695,0.5084926843643188,0.3702318295195878,0.2512701205848482,0.2595624982410974,0.5226295113563537,0.3640423622085448,7.500000356230885e-05
normalized,preprocessed,external,[32],prelu,32,240,0.0269298517983406,0.248219849988818,0.5461466550827027,0.338152194470167,0.025869874805212,0.2428136922419069,0.5519534945487976,0.3310435865819452,0.0001625000077183
normalized,preprocessed,augmented,[64],relu,32,253,0.0291147930454462,0.2544674725830553,0.5338489532470703,0.3527727302908895,0.0279325637686997,0.2500344890356062,0.5523871541023254,0.3453750544786451,7.812500371073838e-06
normalized,non_processed,external,[16],prelu,64,299,0.0266265280172228,0.2563655073940752,0.5161301851272583,0.3542676196992395,0.025538078341633,0.2504225457459686,0.5346145868301392,0.3459736013412473,1.875000089057721e-05
normalized,non_processed,augmented,[64],relu,32,284,0.0288627491891383,0.2639910864830015,0.5064039468765259,0.3710286498069761,0.0277308815717697,0.2589126169681547,0.5242968797683716,0.3634677743911741,1.5718750546511727e-06
